"","tconst","id","title","bechdel_rating","year","averageRating","numVotes","runtimeMinutes","genres","primaryTitle"
"4938","1073241",5904,"Nothing But the Truth","3",2008,7.2,32931,"108","Crime,Drama,Mystery","Nothing But the Truth"
"4939","1074638",3632,"Skyfall","3",2012,7.8,568167,"143","Action,Adventure,Thriller","Skyfall"
"4940","1075749",5784,"Reykjavik Whale Watching Massacre","3",2009,4.9,1695,"90","Comedy,Horror","Reykjavik Whale Watching Massacre"
"4941","1076252",7813,"Picture This","2",2008,5.4,8862,"92","Comedy,Drama,Romance","Picture This"
"4942","1077084",1178,"God&#39;s Forgotten Town","3",2008,5.1,88,"\N","Horror,Thriller","God's Forgotten Town"
"4943","1077094",3016,"One Million Yen Girl","3",2008,7.3,809,"121","Drama","One Million Yen Girl"
"4944","1077258",29,"Planet Terror","3",2007,7.1,181164,"105","Action,Comedy,Horror","Planet Terror"
"4945","1077262",891,"Ajami","2",2009,7.4,5485,"124","Crime,Drama","Ajami"
"4946","1077274",4264,"Yobi, the Five-Tailed Fox (Cheon-nyeon-yeo-woo-yeo-woo-bi)","3",2007,6.9,757,"86","Animation,Fantasy","Yobi, the Five Tailed Fox"
"4947","1077368",3253,"Dark Shadows","3",2012,6.2,218679,"113","Comedy,Fantasy,Horror","Dark Shadows"
"4948","1078588",798,"My Sister&#39;s Keeper","3",2009,7.4,81752,"109","Drama,Family","My Sister's Keeper"
"4949","1078600",7381,"Solo Quiero Caminar","3",2008,5.9,1425,"129","Crime,Drama,Thriller","Walking Vengeance"
"4950","1079444",278,"Dead Like Me: Life After Death","3",2009,6.1,11596,"87","Comedy,Drama,Fantasy","Dead Like Me: Life After Death"
"4951","1079968",1929,"Jack and the Beanstalk","1",2010,4.8,1430,"94","Adventure,Comedy,Family","Jack and the Beanstalk"
"4952","1080016",458,"Ice Age: Dawn of the Dinosaurs","1",2009,7,188614,"94","Action,Adventure,Animation","Ice Age: Dawn of the Dinosaurs"
"4953","1082009",5718,"Queen to Play","3",2009,6.9,2385,"97","Drama","Queen to Play"
"4954","1082807",7688,"Belko Experiment, The","3",2016,6.1,31338,"89","Action,Horror,Thriller","The Belko Experiment"
"4955","1082853",3965,"Management","2",2008,5.9,15796,"94","Comedy,Drama,Romance","Management"
"4956","1082868",541,"Quarantine","3",2008,6,62456,"89","Horror,Thriller","Quarantine"
"4957","1082876",6829,"Tales from the Catholic Church of Elvis!","3",2009,8.1,34,"\N","Comedy,Drama","Tales from the Catholic Church of Elvis!"
"4958","1083452",6998,"Eddie the Eagle","2",2016,7.4,66922,"106","Biography,Comedy,Drama","Eddie the Eagle"
"4959","1083456",4086,"Fired Up!","1",2009,6.2,39580,"90","Comedy","Fired Up!"
"4960","1083845",3617,"Ballet Shoes","3",2007,6.8,7685,"85","Drama,Family","Ballet Shoes"
"4961","1084950",499,"Rachel Getting Married","3",2008,6.7,43572,"113","Drama,Romance","Rachel Getting Married"
"4962","1085779",8003,"Hole, The","3",2009,5.7,20704,"92","Adventure,Fantasy,Thriller","The Hole"
"4963","1086216",2348,"Uncertainty","3",2009,5.8,6109,"101","Drama,Romance,Thriller","Uncertainty"
"4964","1086772",5664,"Blended","3",2014,6.5,99653,"117","Comedy,Romance","Blended"
"4965","1091722",311,"Adventureland","3",2009,6.8,141686,"107","Comedy,Drama,Romance","Adventureland"
"4966","1092026",2027,"Paul","3",2011,7,210289,"104","Adventure,Comedy,Sci-Fi","Paul"
"4967","1092053",4040,"Barbie as the Island Princess","3",2007,6.3,1903,"86","Animation,Family","Barbie as the Island Princess"
"4968","1093357",2955,"Darkest Hour, The","3",2011,4.9,53200,"89","Action,Adventure,Horror","The Darkest Hour"
"4969","1093908",915,"Confessions of a Shopaholic","3",2009,5.9,68069,"104","Comedy,Family,Romance","Confessions of a Shopaholic"
"4970","1094278",1802,"Tricks","3",2007,7.1,1820,"95","Comedy,Drama","Tricks"
"4971","1094661",2118,"Coco Chanel","3",2008,7,3201,"139","Biography,Drama","Coco Chanel"
"4972","1095217",2438,"Bad Lieutenant: Port of Call - New Orleans, The","3",2009,6.6,68633,"122","Crime,Drama","Bad Lieutenant: Port of Call New Orleans"
"4973","1095442",2203,"Goodbye Solo","1",2008,7.4,5222,"91","Drama","Goodbye Solo"
"4974","1095496",4152,"She&#39;s a Boy I Knew","3",2007,7.9,118,"70","Documentary","She's a Boy I Knew"
"4975","1095573",6381,"&quot;The Backyardigans&quot; International Super Spy","2",2007,8.6,18,"25","Adventure,Animation,Comedy","International Super Spy: Part 1"
