"","nconst","tconst","ordering","category","primaryName","primaryProfession"
"183","nm0000020","0058083",1,"actor","Henry Fonda","actor,producer,soundtrack"
"184","nm0000020","0049934",2,"actor","Henry Fonda","actor,producer,soundtrack"
"185","nm0000020","0036244",1,"actor","Henry Fonda","actor,producer,soundtrack"
"186","nm0000020","0050083",1,"actor","Henry Fonda","actor,producer,soundtrack"
"187","nm0000020","0038762",1,"actor","Henry Fonda","actor,producer,soundtrack"
"188","nm0000020","0035415",4,"actor","Henry Fonda","actor,producer,soundtrack"
"189","nm0000021","0036969",2,"actress","Joan Fontaine","actress,soundtrack,producer"
"190","nm0000022","0040242",1,"actor","Clark Gable","actor,soundtrack,producer"
"191","nm0000022","0055184",1,"actor","Clark Gable","actor,soundtrack,producer"
"192","nm0000022","0046085",1,"actor","Clark Gable","actor,soundtrack,producer"
"193","nm0000022","0052151",1,"actor","Clark Gable","actor,soundtrack,producer"
"194","nm0000022","0052278",1,"actor","Clark Gable","actor,soundtrack,producer"
"195","nm0000022","0022208",4,"actor","Clark Gable","actor,soundtrack,producer"
"196","nm0000022","0028505",1,"actor","Clark Gable","actor,soundtrack,producer"
"197","nm0000022","0029377",1,"actor","Clark Gable","actor,soundtrack,producer"
"198","nm0000023","0034746",1,"actress","Judy Garland","soundtrack,actress"
"199","nm0000023","0043012",1,"actress","Judy Garland","soundtrack,actress"
"200","nm0000023","0035942",2,"actress","Judy Garland","soundtrack,actress"
"201","nm0000023","0038589",1,"actress","Judy Garland","soundtrack,actress"
"202","nm0000023","0037059",1,"actress","Judy Garland","soundtrack,actress"
"203","nm0000023","0040308",1,"actress","Judy Garland","soundtrack,actress"
"204","nm0000024","0045943",4,"actor","John Gielgud","actor,writer,director"
"205","nm0000025","0120844",8,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"206","nm0000025","0118571",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"207","nm0000025","0120657",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"208","nm0000025","0059557",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"209","nm0000025","0110099",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"210","nm0000025","0082869",7,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"211","nm0000025","0117731",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"212","nm0000025","0061122",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"213","nm0000025","0087363",8,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"214","nm0000025","0067065",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"215","nm0000025","0253754",9,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"216","nm0000025","0164334",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"217","nm0000025","0164052",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"218","nm0000025","0060934",8,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"219","nm0000025","0088206",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"220","nm0000025","0098382",8,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"221","nm0000025","0089469",8,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"222","nm0000025","0079945",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"223","nm0000025","0119488",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"224","nm0000025","0083944",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"225","nm0000025","0097737",10,"composer","Jerry Goldsmith","music_department,soundtrack,composer"
"226","nm0000026","0038787",1,"actor","Cary Grant","actor,soundtrack,producer"
"227","nm0000026","0041498",1,"actor","Cary Grant","actor,soundtrack,producer"
"228","nm0000026","0053125",1,"actor","Cary Grant","actor,soundtrack,producer"
"229","nm0000026","0029947",2,"actor","Cary Grant","actor,soundtrack,producer"
"230","nm0000026","0028597",2,"actor","Cary Grant","actor,soundtrack,producer"
"231","nm0000026","0036613",1,"actor","Cary Grant","actor,soundtrack,producer"
"232","nm0000026","0051773",1,"actor","Cary Grant","actor,soundtrack,producer"
"233","nm0000026","0029682",1,"actor","Cary Grant","actor,soundtrack,producer"
"234","nm0000026","0050105",1,"actor","Cary Grant","actor,soundtrack,producer"
"235","nm0000026","0040613",1,"actor","Cary Grant","actor,soundtrack,producer"
"236","nm0000026","0050599",1,"actor","Cary Grant","actor,soundtrack,producer"
"237","nm0000027","0041546",2,"actor","Alec Guinness","actor,soundtrack,writer"
"238","nm0000027","0048281",1,"actor","Alec Guinness","actor,soundtrack,writer"
"239","nm0000027","0048512",1,"actor","Alec Guinness","actor,soundtrack,writer"
"240","nm0000027","0050212",2,"actor","Alec Guinness","actor,soundtrack,writer"
"241","nm0000028","0046076",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"242","nm0000028","0046269",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"243","nm0000028","0038559",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"244","nm0000028","0036723",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"245","nm0000028","0050397",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"246","nm0000028","0035415",2,"actress","Rita Hayworth","actress,soundtrack,producer"
"247","nm0000028","0052182",1,"actress","Rita Hayworth","actress,soundtrack,producer"
"248","nm0000030","0058385",1,"actress","Audrey Hepburn","actress,soundtrack"
"249","nm0000030","0050419",1,"actress","Audrey Hepburn","actress,soundtrack"
"250","nm0000030","0060522",1,"actress","Audrey Hepburn","actress,soundtrack"
"251","nm0000030","0046250",2,"actress","Audrey Hepburn","actress,soundtrack"
"252","nm0000030","0062407",1,"actress","Audrey Hepburn","actress,soundtrack"
"253","nm0000030","0062467",1,"actress","Audrey Hepburn","actress,soundtrack"
"254","nm0000030","0053131",1,"actress","Audrey Hepburn","actress,soundtrack"
"255","nm0000030","0049934",1,"actress","Audrey Hepburn","actress,soundtrack"
"256","nm0000031","0029947",1,"actress","Katharine Hepburn","actress,soundtrack,writer"
"257","nm0000031","0050307",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
