"nconst","tconst","crew.type","primaryName","primaryProfession"
"nm0467482","0099819","writ1","John Kostmayer","writer,actor,producer"
"nm0467569","0468795","writ1","Kôsuke Mukai","writer,cinematographer,editor"
"nm0467646","0083944","dir1","Ted Kotcheff","producer,director,actor"
"nm0467646","0067541","writ3","Ted Kotcheff","producer,director,actor"
"nm0467646","0067541","dir1","Ted Kotcheff","producer,director,actor"
"nm0467646","0098627","dir1","Ted Kotcheff","producer,director,actor"
"nm0467889","0095742","writ2","William Kotzwinkle","writer"
"nm0467942","2241351","writ3","Jim Kouf","writer,producer,director"
"nm0467942","0281373","writ1","Jim Kouf","writer,producer,director"
"nm0467942","0316732","writ4","Jim Kouf","writer,producer,director"
"nm0467942","0120812","writ2","Jim Kouf","writer,producer,director"
"nm0467942","0368891","writ1","Jim Kouf","writer,producer,director"
"nm0468007","1023441","dir1","Jan Kounen","director,writer,actor"
"nm0468007","1023441","writ3","Jan Kounen","director,writer,actor"
"nm0468007","0875113","writ3","Jan Kounen","director,writer,actor"
"nm0468007","0875113","dir1","Jan Kounen","director,writer,actor"
"nm0468080","1665418","writ1","Wendy Kout","writer,miscellaneous,producer"
"nm0468169","0114787","writ1","Dusan Kovacevic","writer,miscellaneous,director"
"nm0468335","0134067","dir1","Igor Kovalyov","animation_department,director,art_department"
"nm0468407","0096969","writ1","Ron Kovic","writer,actor,miscellaneous"
"nm0468549","0439623","dir1","William R. Kowalchuk Jr.","production_manager,director,sound_department"
"nm0468715","1125254","writ2","Takao Koyama","writer,miscellaneous,actor"
"nm0468715","0142237","writ2","Takao Koyama","writer,miscellaneous,actor"
"nm0468715","0142245","writ2","Takao Koyama","writer,miscellaneous,actor"
"nm0468715","0142233","writ2","Takao Koyama","writer,miscellaneous,actor"
"nm0468715","0142243","writ2","Takao Koyama","writer,miscellaneous,actor"
"nm0468997","0083944","writ2","Michael Kozoll","writer,miscellaneous,producer"
"nm0469104","0096163","writ1","Tim Krabbé","writer,actor"
"nm0469166","0028000","writ2","John W. Krafft","writer,editor"
"nm0469234","0102070","writ2","Robert Kraft","music_department,soundtrack,composer"
"nm0469594","1684226","writ1","Larry Kramer","writer,producer,miscellaneous"
"nm0469594","0066579","writ2","Larry Kramer","writer,producer,miscellaneous"
"nm0469650","0084725","writ1","Robert Kramer","director,writer,cinematographer"
"nm0469674","1339302","writ3","Steve Kramer","actor,writer,miscellaneous"
"nm0469694","0924129","writ1","Wayne Kramer","writer,director,producer"
"nm0469694","0924129","dir1","Wayne Kramer","writer,director,producer"
"nm0469694","0297284","writ1","Wayne Kramer","writer,director,producer"
"nm0469915","0033533","writ1","Norman Krasna","writer,producer,director"
"nm0469915","0047673","writ1","Norman Krasna","writer,producer,director"
"nm0469915","0028505","writ1","Norman Krasna","writer,producer,director"
"nm0469915","0027652","writ3","Norman Krasna","writer,producer,director"
"nm0469915","0051773","writ1","Norman Krasna","writer,producer,director"
"nm0469915","0054022","writ1","Norman Krasna","writer,producer,director"
"nm0470002","0380726","writ3","Józef Ignacy Kraszewski","writer"
"nm0470004","1316540","writ1","László Krasznahorkai","writer"
"nm0470004","0415127","writ3","László Krasznahorkai","writer"
"nm0470081","2582008","writ2","Lars Kraume","director,writer,producer"
"nm0470081","2582008","dir1","Lars Kraume","director,writer,producer"
"nm0470323","1657510","dir1","Ron Krauss","producer,director,writer"
"nm0470323","1657510","writ1","Ron Krauss","producer,director,writer"
"nm0470402","0015361","writ3","Ilya Kravchunovsky","director,writer,assistant_director"
"nm0470906","0065571","writ3","Lee Kresel","miscellaneous,actor,writer"
"nm0471014","1707386","writ4","Herbert Kretzmer","soundtrack,writer,music_department"
"nm0471217","0489007","writ2","Stu Krieger","writer,miscellaneous,producer"
"nm0471217","0095489","writ1","Stu Krieger","writer,miscellaneous,producer"
"nm0471217","0091721","writ2","Stu Krieger","writer,miscellaneous,producer"
"nm0471247","0964586","writ3","Helena Kriel","writer,actress,miscellaneous"
"nm0471298","0166485","writ3","Peter Krikes","writer,producer"
"nm0471298,nm0583292","0092007","writ5",NA,NA
"nm0471341","0030755","writ1","Milton Krims","writer,actor,director"
"nm0471386","0770739","writ2","Steven Kriozere","producer,writer,miscellaneous"
"nm0471392","0357507","writ1","Eric Kripke","writer,producer,miscellaneous"
"nm0471622","2829458","writ1","Stian Kristiansen","director,actor,writer"
"nm0471622","2829458","dir1","Stian Kristiansen","director,actor,writer"
"nm0471636","0109849","writ2","Charlie Kristiansson","director,writer,cinematographer"
"nm0471811","0381681","writ4","Kim Krizan","actress,writer"
"nm0471811","2209418","writ4","Kim Krizan","actress,writer"
"nm0471811","0112471","writ2","Kim Krizan","actress,writer"
"nm0471897","0457400","writ4","Marty Krofft","producer,writer,miscellaneous"
"nm0471898","0457400","writ3","Sid Krofft","producer,writer,miscellaneous"
"nm0472100","0910905","writ1","Jerzy Kromolowski","writer,director"
"nm0472213","0080377","writ2","Jeremy Joe Kronsberg","soundtrack,writer,director"
"nm0472386","0104254","dir1","Bill Kroyer","art_department,animation_department,visual_effects"
"nm0472495","0116985","dir1","Lisa Krueger","miscellaneous,director,writer"
"nm0472495","0116985","writ1","Lisa Krueger","miscellaneous,director,writer"
"nm0472567","1055369","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","0298130","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","1219827","writ4","Ehren Kruger","writer,producer,executive"
"nm0472567","0134084","writ2","Ehren Kruger","writer,producer,executive"
"nm0472567","0449092","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","0397101","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","0160399","writ2","Ehren Kruger","writer,producer,executive"
"nm0472567","1399103","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","2109248","writ1","Ehren Kruger","writer,producer,executive"
"nm0472567","0377109","writ1","Ehren Kruger","writer,producer,executive"
"nm0472695","0060959","writ2","Ester Krumbachová","costume_designer,writer,production_designer"
"nm0472761","1493886","writ1","Mark Antony Krupa","actor,producer,writer"
"nm0473134","0016884","writ4","Hanns Kräly","writer,actor,assistant_director"
"nm0473134","0010281","writ1","Hanns Kräly","writer,actor,assistant_director"
"nm0473941","0096787","dir2","Dan Kuenster","animation_department,art_department,director"
"nm0474374","0087507","writ3","Bernie Kukoff","writer,producer,director"
"nm0474398","0824316","writ1","Nagesh Kukunoor","director,writer,actor"
"nm0474398","0824316","dir1","Nagesh Kukunoor","director,writer,actor"
"nm0474948","0804513","dir1","Naoto Kumazawa","director,writer,editor"
"nm0474955","0139134","dir1","Roger Kumble","director,writer,producer"
"nm0474955","0253867","dir1","Roger Kumble","director,writer,producer"
"nm0474955","0139134","writ2","Roger Kumble","director,writer,producer"
"nm0475659","2392326","writ1","Hanif Kureishi","writer,producer,actor"
"nm0475659","0091578","writ1","Hanif Kureishi","writer,producer,actor"
"nm0475659","0323298","writ1","Hanif Kureishi","writer,producer,actor"
"nm0475823","0060522","writ2","Harry Kurnitz","writer,producer,costume_designer"
"nm0475823","0037365","writ3","Harry Kurnitz","writer,producer,costume_designer"
"nm0475823","0051201","writ3","Harry Kurnitz","writer,producer,costume_designer"
"nm0475823","0058586","writ3","Harry Kurnitz","writer,producer,costume_designer"
"nm0475823","0056059","writ2","Harry Kurnitz","writer,producer,costume_designer"
"nm0475845","0059212","dir1","Yoshio Kuroda","director,art_department,writer"
"nm0475888","0049782","writ3","Ken Kuronuma","writer"
"nm0475905","0330312","dir1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0123948","writ1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0123948","dir1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0443231","writ1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0443231","dir1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0938341","dir1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0286751","writ1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0938341","writ1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475905","0286751","dir1","Kiyoshi Kurosawa","director,writer,actor"
"nm0475993","1219817","writ2","Richard Kurti","writer,director"
"nm0476064","0418279","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","2345759","dir1","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","1055369","writ3","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","0317919","writ1","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","1716777","dir1","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","1716777","writ1","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","0386140","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","0796366","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","1872181","writ1","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","0409847","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","1408101","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064","0399201","writ2","Alex Kurtzman","producer,writer,miscellaneous"
"nm0476064,nm0525886","2345759","writ5",NA,NA
"nm0476065","0116130","writ2","Andrew Kurtzman","writer,producer,miscellaneous"
"nm0476071","0116367","writ1","Robert Kurtzman","make_up_department,special_effects,writer"
"nm0476201","0210075","dir1","Karyn Kusama","director,writer,producer"
"nm0476201","0210075","writ1","Karyn Kusama","director,writer,producer"
"nm0476201","1131734","dir1","Karyn Kusama","director,writer,producer"
"nm0476201","0402022","dir1","Karyn Kusama","director,writer,producer"
"nm0476378","2345759","writ3","Dylan Kussman","actor,writer,director"
"nm0476565,nm0600987","0768212","writ5",NA,NA
"nm0476900","0103893","dir1","Fran Rubel Kuzui","producer,director,writer"
"nm0477035","0398913","dir1","Corey Yuen","actor,stunts,director"
"nm0477035","0293662","dir1","Corey Yuen","actor,stunts,director"
"nm0477035","0110054","dir1","Corey Yuen","actor,stunts,director"
"nm0477129","1001508","dir1","Ken Kwapis","director,producer,writer"
"nm0477129","0403508","dir1","Ken Kwapis","director,producer,writer"
"nm0477129","1430615","dir1","Ken Kwapis","director,producer,writer"
"nm0477213","2017561","dir1","Chi-kin Kwok","writer,director,actor"
"nm0477213","2017561","writ2","Chi-kin Kwok","writer,director,actor"
"nm0477230","5540928","writ4","Miranda Kwok","actress,miscellaneous,writer"
"nm0477279","0410377","writ1","Joseph Kwong","writer,producer"
"nm0477370","0346491","writ2","Christopher Kyle","writer"
"nm0477370","0267626","writ2","Christopher Kyle","writer"
"nm0477515","0013428","writ2","Hans Kyser","writer,director"
"nm0477696","0120783","writ1","Erich Kästner","writer,actor,soundtrack"
"nm0477696","0055277","writ1","Erich Kästner","writer,actor,soundtrack"
"nm0477696","0091721","writ1","Erich Kästner","writer,actor,soundtrack"
"nm0477823","1822304","dir1","Ulrich Köhler","director,writer,camera_department"
"nm0477823","1822304","writ1","Ulrich Köhler","director,writer,camera_department"
"nm0478172","0386820","writ3","Karsten Kiilerich","director,writer,animation_department"
"nm0478241","1124394","writ1","Iiro Küttner","writer,miscellaneous,actor"
"nm0478327","0050706","writ2","Jean L'Hôte","writer,director"
"nm0478373","0029453","writ1","Henri La Barthe","writer"
"nm0478373","0040214","writ4","Henri La Barthe","writer"
"nm0478383","0068611","writ1","Arthur La Bern","writer"
"nm0478441","0032946","dir1","Gregory La Cava","director,producer,animation_department"
"nm0478441","0017410","dir1","Gregory La Cava","director,producer,animation_department"
"nm0478441","0028010","dir1","Gregory La Cava","director,producer,animation_department"
"nm0478441","0022614","dir1","Gregory La Cava","director,producer,animation_department"
"nm0478441","0032946","writ2","Gregory La Cava","director,producer,animation_department"
"nm0478441","0028010","writ4","Gregory La Cava","director,producer,animation_department"
"nm0478441","0029604","dir1","Gregory La Cava","director,producer,animation_department"
"nm0478479","0036506","writ3","Paul La Cour","writer,assistant_director"
"nm0478548","1263778","writ3","Madame de La Fayette","writer"
"nm0478548","0204761","writ2","Madame de La Fayette","writer"
"nm0478579","0021739","writ1","Georges de La Fouchardière","writer,actor"
"nm0478579","0038057","writ1","Georges de La Fouchardière","writer,actor"
"nm0478588","0445922","writ2","Ian La Frenais","writer,producer,miscellaneous"
"nm0478588","0424095","writ2","Ian La Frenais","writer,producer,miscellaneous"
"nm0478588","0200465","writ2","Ian La Frenais","writer,producer,miscellaneous"
"nm0478799","2179121","writ2","Alexandre de La Patellière","writer,producer,miscellaneous"
"nm0478799","2179121","dir1","Alexandre de La Patellière","writer,producer,miscellaneous"
"nm0478799","1167638","writ4","Alexandre de La Patellière","writer,producer,miscellaneous"
"nm0478934","1736633","writ1","Pierre Drieu La Rochelle","writer"
"nm0479628","0071381","writ2","Dominique Labourier","actress,writer"
"nm0479810","2617828","writ1","Stephan Lacant","director,writer,producer"
"nm0479810","2617828","dir1","Stephan Lacant","director,writer,producer"
"nm0479923","0056262","writ2","Franklin Lacey","writer"
"nm0480048","0443295","writ4","Mort Lachman","producer,writer,miscellaneous"
"nm0480166","0094947","writ2","Choderlos de Laclos","writer"
"nm0480166","0139134","writ1","Choderlos de Laclos","writer"
"nm0480308","2278871","writ2","Ghalia Lacroix","writer,editor,actress"
"nm0480308","1401643","writ2","Ghalia Lacroix","writer,editor,actress"
"nm0480349","0120131","dir2","Rob LaDuca","art_department,director,producer"
"nm0480349","0264734","dir1","Rob LaDuca","art_department,director,producer"
"nm0480677","0016220","dir1","Ernst Laemmle","director,miscellaneous,writer"
"nm0480843","0099253","dir1","John Lafia","director,writer,producer"
"nm0480843","0094862","writ2","John Lafia","director,writer,producer"
"nm0480843","0282418","dir1","John Lafia","director,writer,producer"
"nm0480894","1671457","dir1","Stéphane Lafleur","editor,director,writer"
"nm0480894","3483194","dir1","Stéphane Lafleur","editor,director,writer"
"nm0480894","1671457","writ1","Stéphane Lafleur","editor,director,writer"
"nm0480894","3483194","writ2","Stéphane Lafleur","editor,director,writer"
"nm0481001","0039650","writ1","Carmen Laforet","writer"
"nm0481248","0012364","writ1","Selma Lagerlöf","writer,miscellaneous"
"nm0481401","0046487","writ2","Jacques Lagrange","writer"
"nm0481401","0050706","writ1","Jacques Lagrange","writer"
"nm0481401","0062136","writ2","Jacques Lagrange","writer"
"nm0481418","1559547","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418","0117057","writ3","Richard LaGravenese","writer,producer,director"
"nm0481418","1291580","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418","0112579","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418","0463998","dir1","Richard LaGravenese","writer,producer,director"
"nm0481418","0431308","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418","2474024","dir1","Richard LaGravenese","writer,producer,director"
"nm0481418","0101889","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418","1809398","writ3","Richard LaGravenese","writer,producer,director"
"nm0481418","1559547","dir1","Richard LaGravenese","writer,producer,director"
"nm0481418","0431308","dir1","Richard LaGravenese","writer,producer,director"
"nm0481418","1067583","writ1","Richard LaGravenese","writer,producer,director"
