,tconst,id,title,bechdel_rating,year,averageRating,numVotes,runtimeMinutes,genres,primaryTitle
4641,863091.0,4830,Mukhsin,3,2006,7.2,250.0,95,"Comedy,Drama,Family",Mukhsin
4642,864761.0,3461,"Duchess, The",3,2008,6.9,68647.0,110,"Biography,Drama,History",The Duchess
4643,864835.0,5221,Mr. Peabody and Sherman,1,2014,6.8,54084.0,92,"Adventure,Animation,Comedy",Mr. Peabody & Sherman
4644,865556.0,1143,"Forbidden Kingdom, The",1,2008,6.6,93867.0,104,"Action,Adventure,Fantasy",The Forbidden Kingdom
4645,866437.0,1151,"Jane Austen Book Club, The",3,2007,6.8,23412.0,106,"Comedy,Drama,Romance",The Jane Austen Book Club
4646,866439.0,5007,Made of Honor,2,2008,5.9,59965.0,101,"Comedy,Romance",Made of Honor
4647,868394.0,7131,&quot;Masters of Horror&quot; Dream Cruise,1,2007,5.2,1372.0,87,Horror,Dream Cruise
4648,869977.0,3989,Naissance des pieuvres,3,2007,6.7,7614.0,85,"Drama,Romance",Water Lilies
4649,870089.0,883,Ciao,0,2008,6.4,2116.0,87,"Drama,Romance",Ciao
4650,870111.0,990,Frost/Nixon,1,2008,7.7,94158.0,122,"Biography,Drama,History",Frost/Nixon
4651,870984.0,644,Antichrist,0,2009,6.6,99513.0,108,"Drama,Horror",Antichrist
4652,871197.0,7121,&quot;Masters of Horror&quot; Right to Die,1,2007,6.4,1732.0,58,Horror,Right to Die
4653,871426.0,140,Baby Mama,3,2008,6.0,36675.0,99,"Comedy,Romance",Baby Mama
4654,871510.0,5146,Chakde! India,3,2007,8.2,60640.0,153,"Drama,Family,Sport",Chak de! India
4655,872230.0,7491,My Soul to Take,3,2010,4.8,17707.0,107,"Horror,Mystery,Thriller",My Soul to Take
4656,873886.0,2693,Red State,3,2011,6.2,57418.0,88,"Action,Crime,Horror",Red State
4657,874271.0,4533,Elsewhere,3,2009,5.6,2779.0,106,"Crime,Drama,Thriller",Elsewhere
4658,874425.0,6817,Pretty Ugly People,3,2008,5.0,1684.0,99,Comedy,Pretty Ugly People
4659,875034.0,709,Nine,2,2009,5.8,39757.0,118,"Drama,Musical,Romance",Nine
4660,875113.0,3899,99 francs,1,2007,7.3,16907.0,100,"Comedy,Drama",99 francs
4661,876154.0,4848,To Have and to Hold,3,2006,5.6,156.0,90,Drama,To Have and to Hold
4662,876294.0,3127,"Zombie Diaries, The",3,2006,4.1,4395.0,85,"Horror,Sci-Fi",The Zombie Diaries
4663,876563.0,469,Gake no ue no Ponyo,3,2008,7.7,98743.0,101,"Adventure,Animation,Comedy",Ponyo
4664,877368.0,6445,Tales from the Grudge,3,2006,6.5,99.0,7,"Horror,Short",Tales from the Grudge
4665,878804.0,2048,"Blind Side, The",2,2009,7.7,250727.0,129,"Biography,Drama,Sport",The Blind Side
4666,878835.0,908,Please Give,3,2010,6.6,10339.0,87,"Comedy,Drama",Please Give
4667,879870.0,1480,"Eat, Pray, Love",3,2010,5.7,72209.0,133,"Drama,Romance",Eat Pray Love
4668,880502.0,1925,Auf der anderen Seite,3,2007,7.9,27941.0,122,Drama,The Edge of Heaven
4669,881891.0,1180,All About Steve,3,2009,4.8,35730.0,99,"Comedy,Romance",All About Steve
4670,882978.0,3304,Three Kingdoms: Resurrection of the Dragon,1,2008,6.2,5563.0,102,"Action,Drama,History",Three Kingdoms
4671,884328.0,3324,"Mist, The",3,2007,7.2,247402.0,126,"Horror,Sci-Fi,Thriller",The Mist
4672,884726.0,5917,Legends of Oz: Dorothy&#39;s Return,3,2013,5.5,5333.0,88,"Adventure,Animation,Family",Legends of Oz: Dorothy's Return
4673,884732.0,6065,"Wedding Ringer, The",3,2015,6.7,63035.0,101,Comedy,The Wedding Ringer
4674,884819.0,166,Wool 100%,3,2007,6.5,199.0,100,"Animation,Comedy,Fantasy",Wool 100%
4675,887732.0,4833,Days and Clouds,3,2007,6.9,1377.0,118,Drama,Days and Clouds
4676,887745.0,1899,How About You,3,2007,6.9,1390.0,87,"Comedy,Drama",How About You...
4677,887883.0,189,Burn After Reading,1,2008,7.0,271990.0,96,"Comedy,Crime,Drama",Burn After Reading
4678,887912.0,495,"Hurt Locker, The",1,2008,7.6,371258.0,131,"Drama,History,Thriller",The Hurt Locker
4679,887971.0,3020,While She Was Out,3,2008,4.8,5770.0,86,"Crime,Drama,Thriller",While She Was Out
4680,888019.0,2570,Five Across the Eyes,3,2006,2.7,1524.0,95,Horror,Five Across the Eyes
4681,889573.0,1570,"Switch, The",2,2010,6.1,86200.0,101,"Comedy,Drama,Romance",The Switch
4682,889583.0,480,Br&uuml;no,0,2009,5.8,128264.0,81,Comedy,Brüno
4683,889600.0,4158,Fat Like Me,3,2007,5.9,2462.0,89,Drama,To Be Fat Like Me
4684,890870.0,6454,Saw IV,3,2007,5.9,124513.0,93,"Horror,Mystery,Thriller",Saw IV
4685,891527.0,7078,Lions for lambs,0,2007,6.2,43717.0,92,"Drama,Thriller,War",Lions for Lambs
4686,892100.0,2856,Steam,3,2007,5.4,144.0,120,Drama,Steam
